opening_balance_id,product_id,warehouse_id,balance_date,opening_units
IP00033-W002,IP00033,W002,2023-01-01,132
IP00033-W003,IP00033,W003,2023-01-01,302
IP00033-W004,IP00033,W004,2023-01-01,411
IP00033-W005,IP00033,W005,2023-01-01,157
IP00033-W006,IP00033,W006,2023-01-01,127
IP00033-W007,IP00033,W007,2023-01-01,263
IP00033-W008,IP00033,W008,2023-01-01,270
IP00033-W009,IP00033,W009,2023-01-01,193
IP00033-W010,IP00033,W010,2023-01-01,332
IP00033-W011,IP00033,W011,2023-01-01,84
IP00033-W012,IP00033,W012,2023-01-01,84
IP00034-W001,IP00034,W001,2023-01-01,380
IP00034-W002,IP00034,W002,2023-01-01,349
IP00034-W003,IP00034,W003,2023-01-01,80
IP00034-W004,IP00034,W004,2023-01-01,177
IP00034-W005,IP00034,W005,2023-01-01,368
IP00034-W006,IP00034,W006,2023-01-01,284
IP00034-W007,IP00034,W007,2023-01-01,266
IP00034-W008,IP00034,W008,2023-01-01,263
IP00034-W009,IP00034,W009,2023-01-01,379
IP00034-W010,IP00034,W010,2023-01-01,281
IP00034-W011,IP00034,W011,2023-01-01,446
IP00034-W012,IP00034,W012,2023-01-01,319
IP00035-W001,IP00035,W001,2023-01-01,155
IP00035-W002,IP00035,W002,2023-01-01,174
IP00035-W003,IP00035,W003,2023-01-01,106
IP00035-W004,IP00035,W004,2023-01-01,323
IP00035-W005,IP00035,W005,2023-01-01,201
IP00035-W006,IP00035,W006,2023-01-01,158
IP00035-W007,IP00035,W007,2023-01-01,245
IP00035-W008,IP00035,W008,2023-01-01,229
IP00035-W009,IP00035,W009,2023-01-01,156
IP00035-W010,IP00035,W010,2023-01-01,152
IP00035-W011,IP00035,W011,2023-01-01,422
IP00035-W012,IP00035,W012,2023-01-01,222
IP00036-W001,IP00036,W001,2023-01-01,238
IP00036-W002,IP00036,W002,2023-01-01,254
IP00036-W003,IP00036,W003,2023-01-01,374
IP00036-W004,IP00036,W004,2023-01-01,260
IP00036-W005,IP00036,W005,2023-01-01,149
IP00036-W006,IP00036,W006,2023-01-01,230
IP00036-W007,IP00036,W007,2023-01-01,396
IP00036-W008,IP00036,W008,2023-01-01,396
IP00036-W009,IP00036,W009,2023-01-01,374
IP00036-W010,IP00036,W010,2023-01-01,416
IP00036-W011,IP00036,W011,2023-01-01,336
IP00036-W012,IP00036,W012,2023-01-01,222
IP00037-W001,IP00037,W001,2023-01-01,164
IP00037-W002,IP00037,W002,2023-01-01,379
IP00037-W003,IP00037,W003,2023-01-01,130
IP00037-W004,IP00037,W004,2023-01-01,437
IP00037-W005,IP00037,W005,2023-01-01,395
IP00037-W006,IP00037,W006,2023-01-01,422
IP00037-W007,IP00037,W007,2023-01-01,218
IP00037-W008,IP00037,W008,2023-01-01,436
IP00037-W009,IP00037,W009,2023-01-01,367
IP00037-W010,IP00037,W010,2023-01-01,394
IP00037-W011,IP00037,W011,2023-01-01,318
IP00037-W012,IP00037,W012,2023-01-01,293
IP00038-W001,IP00038,W001,2023-01-01,385
IP00038-W002,IP00038,W002,2023-01-01,169
IP00038-W003,IP00038,W003,2023-01-01,370
IP00038-W004,IP00038,W004,2023-01-01,138
IP00038-W005,IP00038,W005,2023-01-01,291
IP00038-W006,IP00038,W006,2023-01-01,278
IP00038-W007,IP00038,W007,2023-01-01,275
IP00038-W008,IP00038,W008,2023-01-01,421
IP00038-W009,IP00038,W009,2023-01-01,176
IP00038-W010,IP00038,W010,2023-01-01,187
IP00038-W011,IP00038,W011,2023-01-01,382
IP00038-W012,IP00038,W012,2023-01-01,127
IP00039-W001,IP00039,W001,2023-01-01,375
IP00039-W002,IP00039,W002,2023-01-01,82
IP00039-W003,IP00039,W003,2023-01-01,226
IP00039-W004,IP00039,W004,2023-01-01,279
IP00039-W005,IP00039,W005,2023-01-01,168
IP00039-W006,IP00039,W006,2023-01-01,358
IP00039-W007,IP00039,W007,2023-01-01,163
IP00039-W008,IP00039,W008,2023-01-01,290
IP00039-W009,IP00039,W009,2023-01-01,393
IP00039-W010,IP00039,W010,2023-01-01,84
IP00039-W011,IP00039,W011,2023-01-01,174
IP00039-W012,IP00039,W012,2023-01-01,135
IP00040-W001,IP00040,W001,2023-01-01,406
IP00040-W002,IP00040,W002,2023-01-01,91
IP00040-W003,IP00040,W003,2023-01-01,446
IP00040-W004,IP00040,W004,2023-01-01,243
IP00040-W005,IP00040,W005,2023-01-01,118
IP00040-W006,IP00040,W006,2023-01-01,125
IP00040-W007,IP00040,W007,2023-01-01,336
IP00040-W008,IP00040,W008,2023-01-01,427
IP00040-W009,IP00040,W009,2023-01-01,236
IP00040-W010,IP00040,W010,2023-01-01,280
IP00040-W011,IP00040,W011,2023-01-01,329
IP00040-W012,IP00040,W012,2023-01-01,346
IP00041-W001,IP00041,W001,2023-01-01,214
IP00041-W002,IP00041,W002,2023-01-01,445
IP00041-W003,IP00041,W003,2023-01-01,358
IP00041-W004,IP00041,W004,2023-01-01,99
IP00041-W005,IP00041,W005,2023-01-01,337
IP00041-W006,IP00041,W006,2023-01-01,294
IP00041-W007,IP00041,W007,2023-01-01,323
IP00041-W008,IP00041,W008,2023-01-01,433
IP00041-W009,IP00041,W009,2023-01-01,247
IP00041-W010,IP00041,W010,2023-01-01,328
IP00041-W011,IP00041,W011,2023-01-01,161
IP00041-W012,IP00041,W012,2023-01-01,263
IP00042-W001,IP00042,W001,2023-01-01,158
IP00042-W002,IP00042,W002,2023-01-01,244
IP00042-W003,IP00042,W003,2023-01-01,331
IP00042-W004,IP00042,W004,2023-01-01,240
IP00042-W005,IP00042,W005,2023-01-01,447
IP00042-W006,IP00042,W006,2023-01-01,350
IP00042-W007,IP00042,W007,2023-01-01,181
IP00042-W008,IP00042,W008,2023-01-01,406
IP00042-W009,IP00042,W009,2023-01-01,154
IP00042-W010,IP00042,W010,2023-01-01,79
IP00042-W011,IP00042,W011,2023-01-01,294
IP00042-W012,IP00042,W012,2023-01-01,393
IP00043-W001,IP00043,W001,2023-01-01,106
IP00043-W002,IP00043,W002,2023-01-01,327
IP00043-W003,IP00043,W003,2023-01-01,98
IP00043-W004,IP00043,W004,2023-01-01,183
IP00043-W005,IP00043,W005,2023-01-01,373
IP00043-W006,IP00043,W006,2023-01-01,405
IP00043-W007,IP00043,W007,2023-01-01,129
IP00043-W008,IP00043,W008,2023-01-01,391
IP00043-W009,IP00043,W009,2023-01-01,197
IP00043-W010,IP00043,W010,2023-01-01,274
IP00043-W011,IP00043,W011,2023-01-01,206
IP00043-W012,IP00043,W012,2023-01-01,118
IP00044-W001,IP00044,W001,2023-01-01,161
IP00044-W002,IP00044,W002,2023-01-01,390
IP00044-W003,IP00044,W003,2023-01-01,147
IP00044-W004,IP00044,W004,2023-01-01,418
IP00044-W005,IP00044,W005,2023-01-01,127
IP00044-W006,IP00044,W006,2023-01-01,415
IP00044-W007,IP00044,W007,2023-01-01,342
IP00044-W008,IP00044,W008,2023-01-01,201
IP00044-W009,IP00044,W009,2023-01-01,195
IP00044-W010,IP00044,W010,2023-01-01,411
IP00044-W011,IP00044,W011,2023-01-01,292
IP00044-W012,IP00044,W012,2023-01-01,228
IP00045-W001,IP00045,W001,2023-01-01,449
IP00045-W002,IP00045,W002,2023-01-01,214
IP00045-W003,IP00045,W003,2023-01-01,140
IP00045-W004,IP00045,W004,2023-01-01,136
IP00045-W005,IP00045,W005,2023-01-01,184
IP00045-W006,IP00045,W006,2023-01-01,397
IP00045-W007,IP00045,W007,2023-01-01,108
IP00045-W008,IP00045,W008,2023-01-01,110
IP00045-W009,IP00045,W009,2023-01-01,222
IP00045-W010,IP00045,W010,2023-01-01,283
IP00045-W011,IP00045,W011,2023-01-01,348
IP00045-W012,IP00045,W012,2023-01-01,108
IP00046-W001,IP00046,W001,2023-01-01,218
IP00046-W002,IP00046,W002,2023-01-01,341
IP00046-W003,IP00046,W003,2023-01-01,171
IP00046-W004,IP00046,W004,2023-01-01,140
IP00046-W005,IP00046,W005,2023-01-01,283
IP00046-W006,IP00046,W006,2023-01-01,161
IP00046-W007,IP00046,W007,2023-01-01,354
IP00046-W008,IP00046,W008,2023-01-01,401
IP00046-W009,IP00046,W009,2023-01-01,210
IP00046-W010,IP00046,W010,2023-01-01,199
IP00046-W011,IP00046,W011,2023-01-01,386
IP00046-W012,IP00046,W012,2023-01-01,307
IP00047-W001,IP00047,W001,2023-01-01,390
IP00047-W002,IP00047,W002,2023-01-01,241
IP00047-W003,IP00047,W003,2023-01-01,220
IP00047-W004,IP00047,W004,2023-01-01,131
IP00047-W005,IP00047,W005,2023-01-01,274
