purchase_order_line_id,purchase_order_id,product_id,quantity_ordered,quantity_received,unit_cost
POL0000064,PO000022,IP00732,330,330,504.18
POL0000065,PO000023,IP00925,359,359,60.84
POL0000066,PO000023,IP00175,20,20,488.16
POL0000067,PO000023,IP00425,494,494,791.27
POL0000068,PO000024,IP00955,32,32,536.79
POL0000069,PO000024,IP01455,445,445,443.58
POL0000070,PO000024,IP00455,185,185,134.53
POL0000071,PO000024,IP02205,481,481,25.49
POL0000072,PO000025,IP02378,404,404,585.39
POL0000073,PO000025,IP01128,112,112,336.36
POL0000074,PO000025,IP00628,375,375,628.4
POL0000075,PO000026,IP01466,503,503,646.73
POL0000076,PO000027,IP01745,524,524,578.09
POL0000077,PO000028,IP00351,585,0,642.65
POL0000078,PO000028,IP01351,220,0,674.15
POL0000079,PO000028,IP01601,54,0,743.49
POL0000080,PO000028,IP02351,438,0,650.4
POL0000081,PO000029,IP02068,161,161,610.14
POL0000082,PO000029,IP01568,368,368,736.84
POL0000083,PO000029,IP01068,310,310,578.32
POL0000084,PO000030,IP00130,422,422,151.88
POL0000085,PO000030,IP01130,456,456,387.37
POL0000086,PO000030,IP00630,454,454,701.18
POL0000087,PO000030,IP02130,539,539,384.43
POL0000088,PO000030,IP01380,264,264,774.52
POL0000089,PO000031,IP00004,446,446,583.14
POL0000090,PO000031,IP00504,139,139,371.29
POL0000091,PO000031,IP01504,306,306,541.58
POL0000092,PO000031,IP01004,164,164,663.2
POL0000093,PO000031,IP01754,103,103,657.79
POL0000094,PO000032,IP00871,283,283,411.57
POL0000095,PO000032,IP02371,98,98,374.86
POL0000096,PO000032,IP01871,314,314,132.41
POL0000097,PO000032,IP02121,78,78,627.68
POL0000098,PO000032,IP01121,454,454,32.32
POL0000099,PO000033,IP00985,167,167,682.67
POL0000100,PO000033,IP02485,462,462,682.84
POL0000101,PO000033,IP00485,529,529,110.17
POL0000102,PO000033,IP01235,143,143,158.86
POL0000103,PO000034,IP00490,419,419,501.72
POL0000104,PO000035,IP00983,435,435,151.58
POL0000105,PO000035,IP02233,139,139,551.51
POL0000106,PO000036,IP01014,105,105,409.83
POL0000107,PO000036,IP01264,213,213,590.08
POL0000108,PO000037,IP02281,356,356,242.18
POL0000109,PO000037,IP00281,443,443,711.88
POL0000110,PO000037,IP02031,336,336,452.35
POL0000111,PO000037,IP01031,465,465,872.32
POL0000112,PO000038,IP02342,283,283,568.64
POL0000113,PO000038,IP01842,538,538,179.05
POL0000114,PO000038,IP00092,590,590,762.15
POL0000115,PO000038,IP01592,401,401,481.46
POL0000116,PO000039,IP01738,174,174,416.49
POL0000117,PO000039,IP01238,66,66,68.75
POL0000118,PO000040,IP00908,570,570,492.58
POL0000119,PO000040,IP01908,293,293,700.81
POL0000120,PO000040,IP01158,448,448,569.4
POL0000121,PO000040,IP00158,181,181,121.08
POL0000122,PO000041,IP02275,265,265,395.74
POL0000123,PO000041,IP01025,527,527,289.97
POL0000124,PO000041,IP01275,90,90,131.95
POL0000125,PO000041,IP00275,322,322,612.4
POL0000126,PO000041,IP02025,209,209,687.8
POL0000127,PO000042,IP00567,450,450,318.45
POL0000128,PO000042,IP02067,37,37,80.91
POL0000129,PO000042,IP00817,22,22,145.07
POL0000130,PO000042,IP02317,377,377,848.29
POL0000131,PO000042,IP01817,363,363,692
POL0000132,PO000043,IP00457,287,287,509.62
POL0000133,PO000044,IP01578,132,132,206.92
POL0000134,PO000044,IP00578,204,204,631.35
POL0000135,PO000044,IP01078,494,494,696.42
POL0000136,PO000045,IP00838,594,594,647.55
POL0000137,PO000046,IP00182,588,588,233.42
POL0000138,PO000047,IP01483,162,162,20.13
POL0000139,PO000047,IP00233,489,489,788.83
POL0000140,PO000047,IP01233,91,91,422.35
POL0000141,PO000047,IP01733,579,579,590.47
POL0000142,PO000048,IP00806,223,223,703.77
POL0000143,PO000049,IP00050,239,239,451.22
POL0000144,PO000049,IP01800,458,458,98.33
POL0000145,PO000050,IP00896,52,0,296.56
POL0000146,PO000050,IP01146,115,0,601.34
POL0000147,PO000050,IP00646,28,0,617.65
POL0000148,PO000051,IP00851,114,114,789.35
POL0000149,PO000051,IP01351,99,99,644.56
POL0000150,PO000051,IP00101,502,502,269.83
POL0000151,PO000051,IP01601,24,24,762.51
POL0000152,PO000051,IP01851,221,221,646.86
POL0000153,PO000052,IP01152,266,266,22.65
POL0000154,PO000052,IP00652,531,531,756.73
POL0000155,PO000052,IP02152,573,573,602.34
POL0000156,PO000052,IP01402,260,260,511.92
POL0000157,PO000053,IP00934,157,69,304.83
POL0000158,PO000053,IP00684,107,30,239.17
POL0000159,PO000053,IP01684,258,253,123.62
POL0000160,PO000054,IP02221,432,432,473.57
POL0000161,PO000054,IP01971,31,31,646.96
POL0000162,PO000054,IP01471,304,304,309.84
POL0000163,PO000055,IP01776,149,149,299.42
POL0000164,PO000055,IP00776,432,432,375.15
POL0000165,PO000055,IP00276,541,541,532.44
POL0000166,PO000056,IP00254,403,403,215.86
POL0000167,PO000056,IP00004,51,51,551.96
POL0000168,PO000057,IP01573,76,76,534.22
POL0000169,PO000057,IP00823,232,232,191.84
POL0000170,PO000057,IP01323,279,279,707.47
POL0000171,PO000057,IP02073,556,556,803.92
POL0000172,PO000058,IP01725,60,60,778.17
POL0000173,PO000058,IP01475,119,119,62.14
POL0000174,PO000058,IP01975,99,99,743.55
POL0000175,PO000058,IP01225,446,446,633.05
POL0000176,PO000059,IP01392,167,167,532.86
POL0000177,PO000059,IP02142,100,100,55.82
POL0000178,PO000060,IP00605,141,141,764.74
POL0000179,PO000060,IP02355,426,426,576.92
POL0000180,PO000061,IP02144,509,509,720.86
POL0000181,PO000061,IP01894,418,418,211.59
POL0000182,PO000061,IP00144,290,290,325.49
POL0000183,PO000061,IP00894,476,476,792.17
POL0000184,PO000061,IP01144,179,179,147.97
POL0000185,PO000062,IP00556,231,231,738.85
POL0000186,PO000062,IP00806,112,112,701.01
POL0000187,PO000062,IP00056,314,314,287.68
POL0000188,PO000062,IP01806,386,386,651.27
POL0000189,PO000063,IP02052,400,400,345.06
POL0000190,PO000063,IP01552,223,223,826.71
POL0000191,PO000064,IP01651,326,326,60.58
POL0000192,PO000064,IP02401,107,107,256.29
POL0000193,PO000064,IP02151,509,509,690.47
POL0000194,PO000064,IP00901,331,331,779.53
POL0000195,PO000064,IP00401,361,361,605.72
POL0000196,PO000065,IP01192,494,494,276.14
POL0000197,PO000066,IP01475,597,597,63.02
POL0000198,PO000066,IP01975,486,486,735.99
POL0000199,PO000066,IP00225,160,160,32.4
POL0000200,PO000066,IP02225,361,361,216.15
POL0000201,PO000066,IP01725,363,363,776.93
POL0000202,PO000067,IP01888,347,14,803.07
POL0000203,PO000067,IP02138,582,377,17.79
POL0000204,PO000068,IP01248,64,64,3.74
POL0000205,PO000068,IP01498,179,179,736.87
POL0000206,PO000069,IP00302,196,196,18.11
POL0000207,PO000069,IP02052,141,141,335.41
POL0000208,PO000069,IP01052,70,70,671.15
POL0000209,PO000069,IP00802,294,294,475.58
POL0000210,PO000070,IP00757,409,409,240.9
POL0000211,PO000070,IP02007,170,170,717.39
POL0000212,PO000070,IP01257,279,279,577.11
POL0000213,PO000070,IP01007,307,307,622.77
POL0000214,PO000071,IP01569,33,14,781.24
POL0000215,PO000071,IP00569,394,131,101.9
POL0000216,PO000071,IP02069,555,59,200.13
POL0000217,PO000071,IP00819,583,499,808.85
POL0000218,PO000072,IP00822,60,60,493.32
POL0000219,PO000072,IP00322,21,21,205.23
POL0000220,PO000072,IP01572,349,349,796.01
POL0000221,PO000072,IP02322,220,220,149.09
POL0000222,PO000072,IP01822,494,494,26.54
POL0000223,PO000073,IP00809,228,228,26.08
POL0000224,PO000073,IP00309,309,309,586.57
POL0000225,PO000073,IP00059,572,572,524.3
POL0000226,PO000073,IP02309,378,378,300.32
POL0000227,PO000073,IP01809,445,445,297.65
POL0000228,PO000074,IP00621,290,290,448.75
POL0000229,PO000074,IP01371,408,408,52.58
POL0000230,PO000074,IP02371,319,319,373.12
POL0000231,PO000074,IP00121,482,482,523.97
POL0000232,PO000075,IP00820,411,411,275.19
POL0000233,PO000075,IP02320,74,74,72.36
POL0000234,PO000075,IP01570,170,170,758.51
POL0000235,PO000075,IP00320,371,371,405.76
POL0000236,PO000076,IP01393,309,309,503.68
POL0000237,PO000076,IP01143,261,261,489.33
POL0000238,PO000077,IP01059,255,255,199.35
POL0000239,PO000077,IP00059,442,442,528.03
POL0000240,PO000077,IP00809,116,116,25.24
POL0000241,PO000078,IP00394,303,303,155.72
POL0000242,PO000078,IP01644,444,444,340.87
POL0000243,PO000078,IP00644,586,586,45.25
POL0000244,PO000079,IP01819,269,269,328.71
POL0000245,PO000079,IP02069,207,207,205.95
POL0000246,PO000079,IP00569,139,139,94.71
POL0000247,PO000080,IP01340,47,47,807.71
POL0000248,PO000080,IP01840,468,468,385.83
POL0000249,PO000080,IP00590,217,217,15.05
POL0000250,PO000080,IP00340,243,243,77.4
POL0000251,PO000081,IP00694,327,327,106.52
POL0000252,PO000081,IP00444,427,427,513.6
POL0000253,PO000081,IP00194,78,78,786.73
POL0000254,PO000081,IP01944,319,319,828.94
POL0000255,PO000081,IP00944,413,413,674.95
POL0000256,PO000082,IP01044,256,256,579.25
POL0000257,PO000082,IP00544,548,548,229.41
POL0000258,PO000082,IP00294,45,45,118.05
POL0000259,PO000082,IP00794,366,366,423.1
POL0000260,PO000083,IP01195,101,101,303.88
POL0000261,PO000083,IP02195,194,194,402.42
POL0000262,PO000083,IP00445,91,91,112.05
POL0000263,PO000084,IP02469,128,128,784.88
POL0000264,PO000084,IP01469,380,380,63.86
POL0000265,PO000084,IP02219,415,415,362.05
POL0000266,PO000084,IP00219,510,510,165.54
POL0000267,PO000085,IP01761,521,521,876.81
POL0000268,PO000085,IP01511,61,61,429.55
POL0000269,PO000085,IP00261,52,52,747.19
POL0000270,PO000086,IP00421,152,152,265.51
POL0000271,PO000087,IP01417,89,89,773.81
POL0000272,PO000087,IP02417,516,516,742.4
POL0000273,PO000088,IP00211,409,409,328.73
POL0000274,PO000088,IP00961,543,543,331.37
POL0000275,PO000088,IP00461,377,377,54.69
POL0000276,PO000089,IP01751,177,177,287.07
POL0000277,PO000089,IP01501,136,136,443.77
POL0000278,PO000090,IP00735,149,149,494.6
POL0000279,PO000090,IP00235,265,265,562.43
POL0000280,PO000090,IP01485,581,581,717.19
POL0000281,PO000090,IP02235,142,142,537.91
POL0000282,PO000090,IP00485,433,433,106.18
POL0000283,PO000091,IP02493,197,197,854.51
POL0000284,PO000091,IP01243,389,389,241.77
POL0000285,PO000091,IP00493,395,395,375.68
POL0000286,PO000091,IP01993,503,503,735.96
POL0000287,PO000091,IP00993,200,200,216.84
POL0000288,PO000092,IP02464,131,34,454.97
POL0000289,PO000093,IP01579,356,356,358.09
POL0000290,PO000093,IP00079,596,596,150.81
POL0000291,PO000094,IP00640,282,282,711.92
POL0000292,PO000094,IP01890,438,438,818.63
POL0000293,PO000094,IP02140,388,388,808.46
POL0000294,PO000094,IP00390,132,132,503.57
POL0000295,PO000095,IP00842,102,102,581.63
POL0000296,PO000095,IP00592,361,361,502.38
POL0000297,PO000095,IP00342,90,90,803.41
POL0000298,PO000096,IP01041,361,361,797.55
POL0000299,PO000096,IP01541,227,227,308.97
POL0000300,PO000096,IP01291,146,146,29.28
POL0000301,PO000096,IP02041,335,335,243.63
POL0000302,PO000097,IP01397,311,311,840.86
POL0000303,PO000098,IP01603,433,433,157.51
POL0000304,PO000098,IP00603,229,229,162.3
POL0000305,PO000098,IP01853,481,481,450.63
POL0000306,PO000098,IP00103,219,219,538.88
POL0000307,PO000098,IP02103,90,90,43.86
POL0000308,PO000099,IP00064,398,398,477.75
POL0000309,PO000099,IP00814,30,30,736.78
POL0000310,PO000100,IP02166,150,150,670.77
POL0000311,PO000100,IP01166,151,151,106.63
POL0000312,PO000101,IP01588,450,450,196.04
POL0000313,PO000102,IP01787,405,405,142.96
POL0000314,PO000102,IP01537,168,168,772.5
POL0000315,PO000103,IP01141,564,564,480.92
POL0000316,PO000103,IP01891,158,158,804.3
POL0000317,PO000104,IP01989,111,111,234.19
POL0000318,PO000104,IP00989,510,510,864.9
POL0000319,PO000105,IP00190,508,508,489.88
POL0000320,PO000106,IP01788,422,422,2.01
POL0000321,PO000107,IP02239,64,64,791.33
POL0000322,PO000107,IP00489,356,356,270.06
POL0000323,PO000107,IP00739,221,221,41.01
POL0000324,PO000108,IP00005,490,490,385.89
POL0000325,PO000109,IP02070,268,268,349.46
POL0000326,PO000109,IP00070,110,110,467.26
POL0000327,PO000109,IP01570,113,113,770.03
POL0000328,PO000109,IP00570,55,55,38.6
POL0000329,PO000110,IP00043,595,273,729.51
POL0000330,PO000110,IP02293,567,15,596
POL0000331,PO000111,IP00606,230,230,787.63
POL0000332,PO000111,IP01856,569,569,753.7
POL0000333,PO000112,IP00729,275,32,134.82
POL0000334,PO000112,IP01979,381,296,442.14
POL0000335,PO000112,IP00979,359,3,513.19
POL0000336,PO000112,IP01229,141,45,192.72
POL0000337,PO000113,IP00455,335,0,137.27
POL0000338,PO000114,IP00725,303,303,630.22
POL0000339,PO000114,IP02225,194,194,203.67
POL0000340,PO000114,IP02475,317,317,214.23
POL0000341,PO000114,IP01975,427,427,716.87
POL0000342,PO000114,IP01225,320,320,604.27
POL0000343,PO000115,IP01772,480,480,771.24
POL0000344,PO000115,IP00272,399,399,397.92
POL0000345,PO000115,IP02022,191,191,602.29
POL0000346,PO000116,IP00088,118,118,799.06
POL0000347,PO000116,IP01838,427,427,205.4
POL0000348,PO000116,IP01338,406,406,117.79
POL0000349,PO000116,IP00588,422,422,146.63
POL0000350,PO000117,IP01606,273,273,190.94
POL0000351,PO000117,IP00356,550,550,720.17
POL0000352,PO000117,IP01356,182,182,683.14
POL0000353,PO000117,IP02106,501,501,363.35
POL0000354,PO000118,IP01084,169,169,650.53
POL0000355,PO000118,IP00084,223,223,166.43
POL0000356,PO000119,IP02408,317,317,151.22
POL0000357,PO000119,IP00158,98,98,124.84
POL0000358,PO000120,IP00003,515,515,755.76
POL0000359,PO000120,IP01003,480,480,56.83
POL0000360,PO000120,IP01253,577,577,729.22
POL0000361,PO000120,IP00503,61,61,795.51
POL0000362,PO000121,IP01730,473,473,103.37
POL0000363,PO000121,IP02480,281,281,271.55
POL0000364,PO000122,IP00425,391,391,734.22
POL0000365,PO000122,IP01175,396,396,37.67
POL0000366,PO000122,IP02175,367,367,135.06
POL0000367,PO000123,IP00643,508,508,198.11
POL0000368,PO000123,IP01393,448,448,469.53
POL0000369,PO000123,IP02143,119,119,329.77
POL0000370,PO000123,IP00393,224,224,5.56
POL0000371,PO000124,IP00747,381,0,688.66
POL0000372,PO000124,IP00497,405,0,362.65
POL0000373,PO000125,IP01048,135,135,558.33
POL0000374,PO000126,IP00652,210,210,737.04
POL0000375,PO000127,IP01954,563,563,490.8
POL0000376,PO000127,IP02454,34,34,371.17
POL0000377,PO000127,IP01704,565,565,73.95
POL0000378,PO000127,IP01454,55,55,623.85
POL0000379,PO000127,IP00454,234,234,236.94
POL0000380,PO000128,IP02070,40,40,338.71
POL0000381,PO000128,IP01570,461,461,764.52
POL0000382,PO000128,IP01070,598,598,273.12
POL0000383,PO000128,IP02320,474,474,71.76
POL0000384,PO000128,IP00320,176,176,409.13
POL0000385,PO000129,IP00800,303,303,702.44
POL0000386,PO000129,IP00050,75,75,452.7
POL0000387,PO000129,IP01800,510,510,98.89
POL0000388,PO000130,IP02439,567,567,72.13
POL0000389,PO000130,IP01689,437,437,230.86
POL0000390,PO000130,IP02189,121,121,877.36
POL0000391,PO000130,IP00939,117,117,381.03
POL0000392,PO000130,IP01939,72,72,740.41
POL0000393,PO000131,IP01577,295,295,531.89
POL0000394,PO000131,IP00827,122,122,511.97
POL0000395,PO000131,IP00577,256,256,68.63
POL0000396,PO000131,IP02327,325,325,4.86
POL0000397,PO000132,IP01234,379,379,506.07
POL0000398,PO000132,IP02234,347,347,699.52
POL0000399,PO000132,IP01484,598,598,410.06
POL0000400,PO000132,IP00484,418,418,717.45
POL0000401,PO000132,IP00984,277,277,308.76
POL0000402,PO000133,IP01516,193,193,236.33
POL0000403,PO000133,IP00016,92,92,751.35
POL0000404,PO000133,IP00266,358,358,196.3
POL0000405,PO000134,IP01621,559,559,448.38
POL0000406,PO000134,IP02371,54,54,381.21
POL0000407,PO000134,IP00121,393,393,513.12
POL0000408,PO000134,IP02121,141,141,673.58
POL0000409,PO000134,IP01121,29,29,34.04
POL0000410,PO000135,IP02087,429,429,467.55
POL0000411,PO000135,IP00837,67,67,657.53
POL0000412,PO000135,IP01087,334,334,816.29
POL0000413,PO000136,IP02082,146,146,716.75
POL0000414,PO000136,IP00832,256,256,79.97
POL0000415,PO000136,IP00082,593,593,236.63
POL0000416,PO000137,IP01530,460,335,135.51
POL0000417,PO000137,IP00030,132,51,125.52
POL0000418,PO000138,IP01850,535,535,812.71
POL0000419,PO000138,IP01600,157,157,94.64
POL0000420,PO000138,IP01350,539,539,374.13
POL0000421,PO000139,IP01522,215,215,192.22
POL0000422,PO000140,IP00959,339,339,32.52
POL0000423,PO000140,IP01959,310,310,792.66
POL0000424,PO000140,IP01459,335,335,156.5
POL0000425,PO000141,IP00010,196,196,33.52
POL0000426,PO000141,IP01510,138,138,676.59
POL0000427,PO000142,IP00471,277,277,27.66
POL0000428,PO000142,IP01221,561,561,281.75
POL0000429,PO000142,IP01471,483,483,310.36
POL0000430,PO000143,IP01679,318,318,2.88
POL0000431,PO000143,IP00429,296,296,765.88
POL0000432,PO000144,IP02393,435,435,554.6
POL0000433,PO000145,IP00681,441,441,636.64
POL0000434,PO000145,IP01431,187,187,680.52
POL0000435,PO000145,IP01681,492,492,702.53
POL0000436,PO000145,IP00931,570,570,407.64
POL0000437,PO000146,IP00107,186,186,454.99
POL0000438,PO000146,IP01607,125,125,659.61
POL0000439,PO000146,IP00607,210,210,779.85
POL0000440,PO000147,IP02120,117,117,590.51
POL0000441,PO000148,IP01839,464,464,711.46
POL0000442,PO000148,IP02089,554,554,649.08
POL0000443,PO000148,IP00589,278,278,103.01
POL0000444,PO000148,IP01089,318,318,455.28
POL0000445,PO000149,IP00973,288,288,41.43
POL0000446,PO000149,IP01723,584,584,316.26
POL0000447,PO000149,IP01223,553,553,391.28
POL0000448,PO000149,IP01973,298,298,165.78
POL0000449,PO000150,IP02403,587,587,553.34
POL0000450,PO000150,IP01903,147,147,729.11
POL0000451,PO000150,IP01403,131,131,805.31
POL0000452,PO000150,IP02153,351,351,198.03
POL0000453,PO000150,IP00903,482,482,41.17
POL0000454,PO000151,IP01142,570,570,112.56
POL0000455,PO000151,IP01642,369,369,151.2
POL0000456,PO000151,IP00892,537,537,652.21
POL0000457,PO000152,IP01391,367,367,647.99
POL0000458,PO000153,IP00824,106,106,624.52
POL0000459,PO000153,IP01074,512,512,817.37
POL0000460,PO000153,IP02074,410,410,195.92
POL0000461,PO000153,IP02324,115,115,840.82
POL0000462,PO000153,IP00074,322,322,445.43
POL0000463,PO000154,IP02478,201,201,757.03
POL0000464,PO000155,IP00849,559,270,831.49
POL0000465,PO000155,IP01099,37,5,139.94
POL0000466,PO000155,IP02099,538,122,304.6
POL0000467,PO000155,IP02349,477,40,118.42
POL0000468,PO000155,IP01349,485,4,144.51
POL0000469,PO000156,IP00673,102,102,764.84
POL0000470,PO000156,IP01173,34,34,41.13
POL0000471,PO000156,IP02423,107,107,227.39
POL0000472,PO000156,IP01923,484,484,645.98
POL0000473,PO000156,IP00923,487,487,528.38
POL0000474,PO000157,IP00949,226,226,749.26
POL0000475,PO000158,IP02469,280,280,758.83
POL0000476,PO000158,IP01969,471,471,137.05
POL0000477,PO000158,IP02219,128,128,366.49
POL0000478,PO000158,IP00469,110,110,36.7
POL0000479,PO000159,IP02431,198,198,126.62
POL0000480,PO000159,IP01931,506,506,430.7
POL0000481,PO000160,IP00131,526,0,163.74
POL0000482,PO000161,IP00051,39,39,265.54
POL0000483,PO000161,IP01051,379,379,818.85
POL0000484,PO000162,IP02463,222,222,811.42
POL0000485,PO000162,IP01213,583,583,511.16
POL0000486,PO000162,IP02213,189,189,221.78
POL0000487,PO000163,IP00261,179,179,753.56
POL0000488,PO000163,IP02011,183,183,803.22
POL0000489,PO000163,IP01011,135,135,88.44
POL0000490,PO000163,IP01511,299,299,429.37
POL0000491,PO000164,IP01904,22,22,728.73
POL0000492,PO000164,IP00154,471,471,339.83
POL0000493,PO000165,IP01632,25,25,203.26
POL0000494,PO000165,IP00632,464,464,564.84
POL0000495,PO000166,IP00839,528,528,399.09
POL0000496,PO000166,IP00589,570,570,107.51
POL0000497,PO000166,IP01089,331,331,469.73
POL0000498,PO000166,IP02089,24,24,630.65
POL0000499,PO000167,IP02253,307,307,450.97
POL0000500,PO000167,IP00503,308,308,772.11
POL0000501,PO000168,IP01623,550,550,344.81
POL0000502,PO000168,IP01123,305,305,286.01
POL0000503,PO000169,IP00842,169,169,612.03
POL0000504,PO000170,IP00968,110,110,314.16
POL0000505,PO000171,IP00393,240,240,5.64
POL0000506,PO000171,IP02393,63,63,569.47
POL0000507,PO000171,IP01393,561,561,499.98
POL0000508,PO000171,IP00143,545,545,448.19
POL0000509,PO000172,IP00478,392,392,254.81
POL0000510,PO000172,IP02478,30,30,771.44
POL0000511,PO000172,IP01478,480,480,170.23
POL0000512,PO000172,IP00978,287,287,747.08
POL0000513,PO000172,IP01728,245,245,181.12
POL0000514,PO000173,IP02498,203,203,804.14
POL0000515,PO000174,IP00189,63,0,700.9
POL0000516,PO000174,IP00939,218,0,398.66
POL0000517,PO000174,IP01689,205,0,240.12
POL0000518,PO000174,IP01939,254,0,774.38
POL0000519,PO000175,IP00229,508,508,404.47
POL0000520,PO000175,IP01479,491,491,369.53
POL0000521,PO000176,IP02498,565,0,830.3
POL0000522,PO000176,IP00998,137,0,714.26
POL0000523,PO000176,IP01498,401,0,725.49
POL0000524,PO000177,IP00050,322,322,440.9
POL0000525,PO000177,IP01300,450,450,38.4
POL0000526,PO000178,IP00993,598,598,222.5
POL0000527,PO000178,IP01993,283,283,713.29
POL0000528,PO000178,IP00743,163,163,682.07
POL0000529,PO000179,IP02201,458,458,320.41
POL0000530,PO000180,IP01145,34,0,14.13
POL0000531,PO000180,IP01645,163,0,4.08
POL0000532,PO000180,IP00145,458,0,678.01
POL0000533,PO000180,IP00895,175,0,409.46
POL0000534,PO000180,IP00645,256,0,573.86
POL0000535,PO000181,IP00016,118,118,769.45
POL0000536,PO000181,IP00266,78,78,205.51
POL0000537,PO000181,IP00766,233,233,154.27
POL0000538,PO000181,IP00516,317,317,1.8
POL0000539,PO000181,IP01516,536,536,233.01
POL0000540,PO000182,IP01096,351,351,260.5
POL0000541,PO000182,IP00596,502,502,658.97
POL0000542,PO000182,IP00846,455,455,758.56
POL0000543,PO000182,IP01596,98,98,427.56
POL0000544,PO000182,IP02346,352,352,669.83
POL0000545,PO000183,IP01918,41,41,407.32
POL0000546,PO000184,IP00337,265,265,148.68
POL0000547,PO000184,IP00087,232,232,690.7
POL0000548,PO000184,IP02337,432,432,107.76
POL0000549,PO000185,IP00402,51,51,419.52
POL0000550,PO000185,IP00902,441,441,178.02
POL0000551,PO000185,IP00152,99,99,472.8
POL0000552,PO000185,IP01902,166,166,554.61
POL0000553,PO000186,IP01204,596,596,219.47
POL0000554,PO000186,IP02454,209,209,374.66
POL0000555,PO000186,IP00704,60,60,743.26
POL0000556,PO000186,IP00954,434,434,579.85
POL0000557,PO000187,IP01448,298,298,541.91
POL0000558,PO000187,IP00198,366,366,621.02
POL0000559,PO000187,IP01948,40,40,2.51
POL0000560,PO000187,IP00698,35,35,378.4
POL0000561,PO000187,IP00948,194,194,132.09
POL0000562,PO000188,IP02491,101,101,182.05
POL0000563,PO000188,IP00741,232,232,8.9
POL0000564,PO000189,IP01188,154,154,695.08
POL0000565,PO000189,IP00688,399,399,531.78
POL0000566,PO000190,IP00241,259,259,15.54
POL0000567,PO000190,IP01241,507,507,536.56
POL0000568,PO000190,IP00741,228,228,8.94
POL0000569,PO000191,IP00501,287,287,32.98
POL0000570,PO000191,IP00001,513,513,550.55
POL0000571,PO000191,IP02251,192,192,831.67
POL0000572,PO000191,IP01751,35,35,275.78
POL0000573,PO000192,IP00595,578,578,400.76
POL0000574,PO000192,IP00845,511,511,395.47
POL0000575,PO000192,IP00095,85,85,276.82
POL0000576,PO000192,IP02345,112,112,809.8
POL0000577,PO000192,IP01845,543,543,306.24
POL0000578,PO000193,IP02335,209,209,712.76
POL0000579,PO000193,IP00085,473,473,830.43
POL0000580,PO000193,IP02085,367,367,538.28
