supplier_id,supplier_name,country_code,lead_time_days,reliability_score
SUP0133,Supplier 133,US,20,0.963
SUP0134,Supplier 134,DE,40,0.795
SUP0135,Supplier 135,CN,56,0.867
SUP0136,Supplier 136,CN,49,0.856
SUP0137,Supplier 137,CN,16,0.799
SUP0138,Supplier 138,VN,54,0.928
SUP0139,Supplier 139,US,15,0.886
SUP0140,Supplier 140,PL,23,0.908
SUP0141,Supplier 141,CN,14,0.929
SUP0142,Supplier 142,DE,59,0.825
SUP0143,Supplier 143,CN,56,0.991
SUP0144,Supplier 144,PL,22,0.931
SUP0145,Supplier 145,CN,35,0.878
SUP0146,Supplier 146,VN,46,0.860
SUP0147,Supplier 147,CN,29,0.980
SUP0148,Supplier 148,MX,25,0.816
SUP0149,Supplier 149,DE,9,0.947
SUP0150,Supplier 150,US,23,0.901
SUP0151,Supplier 151,CA,26,0.846
SUP0152,Supplier 152,CN,28,0.793
SUP0153,Supplier 153,CN,12,0.871
SUP0154,Supplier 154,CN,16,0.980
SUP0155,Supplier 155,CN,37,0.962
SUP0156,Supplier 156,MX,52,0.951
SUP0157,Supplier 157,MX,56,0.787
SUP0158,Supplier 158,CN,47,0.932
SUP0159,Supplier 159,US,32,0.794
SUP0160,Supplier 160,MX,41,0.992
SUP0161,Supplier 161,VN,52,0.947
SUP0162,Supplier 162,CN,45,0.905
SUP0163,Supplier 163,DE,53,0.870
SUP0164,Supplier 164,CN,56,0.890
SUP0165,Supplier 165,CA,30,0.784
SUP0166,Supplier 166,DE,12,0.871
SUP0167,Supplier 167,MX,14,0.940
SUP0168,Supplier 168,PL,47,0.904
SUP0169,Supplier 169,MX,56,0.816
SUP0170,Supplier 170,VN,25,0.892
SUP0171,Supplier 171,PL,59,0.816
SUP0172,Supplier 172,VN,33,0.948
SUP0173,Supplier 173,MX,19,0.936
SUP0174,Supplier 174,PL,55,0.904
SUP0175,Supplier 175,DE,5,0.933
SUP0176,Supplier 176,PL,48,0.895
SUP0177,Supplier 177,VN,49,0.945
SUP0178,Supplier 178,PL,13,0.827
SUP0179,Supplier 179,MX,28,0.958
SUP0180,Supplier 180,MX,29,0.889
SUP0181,Supplier 181,CA,10,0.903
SUP0182,Supplier 182,DE,41,0.866
SUP0183,Supplier 183,PL,15,0.806
SUP0184,Supplier 184,DE,42,0.848
SUP0185,Supplier 185,CN,11,0.935
SUP0186,Supplier 186,US,50,0.852
SUP0187,Supplier 187,MX,11,0.833
SUP0188,Supplier 188,VN,13,0.971
SUP0189,Supplier 189,DE,33,0.939
SUP0190,Supplier 190,US,15,0.844
SUP0191,Supplier 191,DE,42,0.890
SUP0192,Supplier 192,VN,25,0.845
SUP0193,Supplier 193,PL,35,0.897
SUP0194,Supplier 194,DE,13,0.979
SUP0195,Supplier 195,DE,38,0.813
SUP0196,Supplier 196,US,36,0.788
SUP0197,Supplier 197,PL,14,0.867
SUP0198,Supplier 198,DE,40,0.992
SUP0199,Supplier 199,PL,23,0.786
SUP0200,Supplier 200,VN,47,0.931
SUP0201,Supplier 201,DE,14,0.907
SUP0202,Supplier 202,US,30,0.977
SUP0203,Supplier 203,DE,29,0.844
SUP0204,Supplier 204,MX,23,0.825
SUP0205,Supplier 205,PL,26,0.882
SUP0206,Supplier 206,CA,30,0.952
SUP0207,Supplier 207,CN,11,0.828
SUP0208,Supplier 208,DE,50,0.791
SUP0209,Supplier 209,DE,47,0.808
SUP0210,Supplier 210,CN,39,0.934
SUP0211,Supplier 211,PL,19,0.820
SUP0212,Supplier 212,VN,26,0.895
SUP0213,Supplier 213,CN,48,0.968
SUP0214,Supplier 214,DE,31,0.832
SUP0215,Supplier 215,CA,34,0.921
SUP0216,Supplier 216,MX,57,0.928
SUP0217,Supplier 217,DE,32,0.916
SUP0218,Supplier 218,VN,16,0.935
SUP0219,Supplier 219,PL,29,0.928
SUP0220,Supplier 220,CA,10,0.816
SUP0221,Supplier 221,MX,7,0.883
SUP0222,Supplier 222,MX,30,0.923
SUP0223,Supplier 223,CN,51,0.986
SUP0224,Supplier 224,CN,15,0.971
SUP0225,Supplier 225,VN,9,0.843
SUP0226,Supplier 226,MX,52,0.821
SUP0227,Supplier 227,US,31,0.876
SUP0228,Supplier 228,VN,44,0.832
SUP0229,Supplier 229,CA,41,0.834
SUP0230,Supplier 230,CA,9,0.941
SUP0231,Supplier 231,CN,34,0.898
SUP0232,Supplier 232,VN,11,0.945
SUP0233,Supplier 233,US,29,0.872
SUP0234,Supplier 234,MX,42,0.901
SUP0235,Supplier 235,DE,54,0.954
SUP0236,Supplier 236,MX,43,0.906
SUP0237,Supplier 237,DE,8,0.875
SUP0238,Supplier 238,MX,45,0.805
SUP0239,Supplier 239,PL,35,0.787
SUP0240,Supplier 240,VN,19,0.918
SUP0241,Supplier 241,PL,17,0.925
SUP0242,Supplier 242,CA,28,0.953
SUP0243,Supplier 243,CA,27,0.929
SUP0244,Supplier 244,CA,50,0.904
SUP0245,Supplier 245,PL,11,0.889
SUP0246,Supplier 246,CN,27,0.963
SUP0247,Supplier 247,PL,42,0.976
SUP0248,Supplier 248,CA,43,0.831
SUP0249,Supplier 249,US,58,0.816
SUP0250,Supplier 250,CA,47,0.928
