product_id,supplier_id,sku,category,unit_cost,reorder_point
IP00171,SUP0171,SC-000171,components,570.84,36
IP00172,SUP0172,SC-000172,packaging,278.49,44
IP00173,SUP0173,SC-000173,finished_goods,544.47,469
IP00174,SUP0174,SC-000174,consumables,60.88,434
IP00175,SUP0175,SC-000175,spares,470.40,194
IP00176,SUP0176,SC-000176,components,93.20,485
IP00177,SUP0177,SC-000177,packaging,162.31,245
IP00178,SUP0178,SC-000178,finished_goods,106.68,398
IP00179,SUP0179,SC-000179,consumables,180.10,237
IP00180,SUP0180,SC-000180,spares,306.91,471
IP00181,SUP0181,SC-000181,components,148.53,98
IP00182,SUP0182,SC-000182,packaging,229.20,447
IP00183,SUP0183,SC-000183,finished_goods,451.03,180
IP00184,SUP0184,SC-000184,consumables,65.33,327
IP00185,SUP0185,SC-000185,spares,308.30,100
IP00186,SUP0186,SC-000186,components,808.40,468
IP00187,SUP0187,SC-000187,packaging,802.61,451
IP00188,SUP0188,SC-000188,finished_goods,847.27,199
IP00189,SUP0189,SC-000189,consumables,689.63,234
IP00190,SUP0190,SC-000190,spares,496.15,489
IP00191,SUP0191,SC-000191,components,15.75,48
IP00192,SUP0192,SC-000192,packaging,322.43,339
IP00193,SUP0193,SC-000193,finished_goods,17.14,341
IP00194,SUP0194,SC-000194,consumables,813.12,246
IP00195,SUP0195,SC-000195,spares,628.10,295
IP00196,SUP0196,SC-000196,components,726.70,92
IP00197,SUP0197,SC-000197,packaging,484.64,221
IP00198,SUP0198,SC-000198,finished_goods,622.73,320
IP00199,SUP0199,SC-000199,consumables,249.27,128
IP00200,SUP0200,SC-000200,spares,335.04,26
IP00201,SUP0201,SC-000201,components,394.62,276
IP00202,SUP0202,SC-000202,packaging,597.52,133
IP00203,SUP0203,SC-000203,finished_goods,2.09,126
IP00204,SUP0204,SC-000204,consumables,444.74,273
IP00205,SUP0205,SC-000205,spares,81.08,450
IP00206,SUP0206,SC-000206,components,92.78,498
IP00207,SUP0207,SC-000207,packaging,176.98,140
IP00208,SUP0208,SC-000208,finished_goods,234.46,214
IP00209,SUP0209,SC-000209,consumables,184.21,291
IP00210,SUP0210,SC-000210,spares,427.39,219
IP00211,SUP0211,SC-000211,components,328.17,53
IP00212,SUP0212,SC-000212,packaging,809.01,220
IP00213,SUP0213,SC-000213,finished_goods,648.31,261
IP00214,SUP0214,SC-000214,consumables,242.22,360
IP00215,SUP0215,SC-000215,spares,476.48,282
IP00216,SUP0216,SC-000216,components,264.98,460
IP00217,SUP0217,SC-000217,packaging,61.76,65
IP00218,SUP0218,SC-000218,finished_goods,325.74,37
IP00219,SUP0219,SC-000219,consumables,165.18,446
IP00220,SUP0220,SC-000220,spares,200.08,151
IP00221,SUP0221,SC-000221,components,340.26,90
IP00222,SUP0222,SC-000222,packaging,792.37,81
IP00223,SUP0223,SC-000223,finished_goods,645.12,369
IP00224,SUP0224,SC-000224,consumables,29.75,484
IP00225,SUP0225,SC-000225,spares,32.93,113
IP00226,SUP0226,SC-000226,components,694.69,287
IP00227,SUP0227,SC-000227,packaging,164.49,127
IP00228,SUP0228,SC-000228,finished_goods,203.81,168
IP00229,SUP0229,SC-000229,consumables,394.01,252
IP00230,SUP0230,SC-000230,spares,425.70,226
IP00231,SUP0231,SC-000231,components,598.39,267
IP00232,SUP0232,SC-000232,packaging,53.58,455
IP00233,SUP0233,SC-000233,finished_goods,788.50,154
IP00234,SUP0234,SC-000234,consumables,246.90,181
IP00235,SUP0235,SC-000235,spares,568.57,402
IP00236,SUP0236,SC-000236,components,496.19,391
IP00237,SUP0237,SC-000237,packaging,572.07,357
IP00238,SUP0238,SC-000238,finished_goods,607.18,201
IP00239,SUP0239,SC-000239,consumables,324.72,81
IP00240,SUP0240,SC-000240,spares,453.47,61
IP00241,SUP0241,SC-000241,components,15.71,494
IP00242,SUP0242,SC-000242,packaging,94.18,284
IP00243,SUP0243,SC-000243,finished_goods,49.06,157
IP00244,SUP0244,SC-000244,consumables,383.57,411
IP00245,SUP0245,SC-000245,spares,753.73,213
IP00246,SUP0246,SC-000246,components,365.35,393
IP00247,SUP0247,SC-000247,packaging,156.19,336
IP00248,SUP0248,SC-000248,finished_goods,1.24,176
IP00249,SUP0249,SC-000249,consumables,653.05,419
IP00250,SUP0250,SC-000250,spares,493.64,157
IP00251,SUP0001,SC-000251,components,703.37,90
IP00252,SUP0002,SC-000252,packaging,762.40,186
IP00253,SUP0003,SC-000253,finished_goods,479.32,289
IP00254,SUP0004,SC-000254,consumables,222.06,102
IP00255,SUP0005,SC-000255,spares,168.88,203
IP00256,SUP0006,SC-000256,components,744.26,205
IP00257,SUP0007,SC-000257,packaging,441.02,244
IP00258,SUP0008,SC-000258,finished_goods,684.12,321
IP00259,SUP0009,SC-000259,consumables,405.90,329
IP00260,SUP0010,SC-000260,spares,346.96,361
IP00261,SUP0011,SC-000261,components,729.04,134
IP00262,SUP0012,SC-000262,packaging,824.49,181
IP00263,SUP0013,SC-000263,finished_goods,138.97,474
IP00264,SUP0014,SC-000264,consumables,284.30,484
IP00265,SUP0015,SC-000265,spares,607.63,41
IP00266,SUP0016,SC-000266,components,203.37,379
IP00267,SUP0017,SC-000267,packaging,472.81,327
IP00268,SUP0018,SC-000268,finished_goods,285.42,356
IP00269,SUP0019,SC-000269,consumables,200.18,227
IP00270,SUP0020,SC-000270,spares,233.89,290
IP00271,SUP0021,SC-000271,components,73.49,43
IP00272,SUP0022,SC-000272,packaging,401.58,429
IP00273,SUP0023,SC-000273,finished_goods,182.26,460
IP00274,SUP0024,SC-000274,consumables,822.63,111
IP00275,SUP0025,SC-000275,spares,618.37,158
IP00276,SUP0026,SC-000276,components,525.21,55
IP00277,SUP0027,SC-000277,packaging,759.00,41
IP00278,SUP0028,SC-000278,finished_goods,3.92,83
IP00279,SUP0029,SC-000279,consumables,705.33,164
IP00280,SUP0030,SC-000280,spares,559.36,67
IP00281,SUP0031,SC-000281,components,712.39,339
IP00282,SUP0032,SC-000282,packaging,621.03,433
IP00283,SUP0033,SC-000283,finished_goods,53.58,83
IP00284,SUP0034,SC-000284,consumables,848.42,403
IP00285,SUP0035,SC-000285,spares,578.43,280
IP00286,SUP0036,SC-000286,components,361.79,57
IP00287,SUP0037,SC-000287,packaging,803.12,356
IP00288,SUP0038,SC-000288,finished_goods,780.57,302
IP00289,SUP0039,SC-000289,consumables,454.23,409
IP00290,SUP0040,SC-000290,spares,259.00,348
IP00291,SUP0041,SC-000291,components,46.36,375
IP00292,SUP0042,SC-000292,packaging,351.05,303
IP00293,SUP0043,SC-000293,finished_goods,826.70,170
IP00294,SUP0044,SC-000294,consumables,116.10,395
IP00295,SUP0045,SC-000295,spares,518.28,351
IP00296,SUP0046,SC-000296,components,232.39,186
IP00297,SUP0047,SC-000297,packaging,93.00,397
IP00298,SUP0048,SC-000298,finished_goods,633.30,318
IP00299,SUP0049,SC-000299,consumables,231.99,241
IP00300,SUP0050,SC-000300,spares,399.79,136
IP00301,SUP0051,SC-000301,components,79.07,120
IP00302,SUP0052,SC-000302,packaging,18.16,46
IP00303,SUP0053,SC-000303,finished_goods,186.54,379
IP00304,SUP0054,SC-000304,consumables,638.61,363
IP00305,SUP0055,SC-000305,spares,685.27,339
IP00306,SUP0056,SC-000306,components,413.35,355
IP00307,SUP0057,SC-000307,packaging,642.08,55
IP00308,SUP0058,SC-000308,finished_goods,131.77,332
IP00309,SUP0059,SC-000309,consumables,582.75,246
IP00310,SUP0060,SC-000310,spares,595.73,158
IP00311,SUP0061,SC-000311,components,753.22,381
IP00312,SUP0062,SC-000312,packaging,324.48,154
IP00313,SUP0063,SC-000313,finished_goods,505.22,352
IP00314,SUP0064,SC-000314,consumables,380.08,374
IP00315,SUP0065,SC-000315,spares,658.94,70
IP00316,SUP0066,SC-000316,components,180.25,243
IP00317,SUP0067,SC-000317,packaging,530.11,238
IP00318,SUP0068,SC-000318,finished_goods,836.28,131
IP00319,SUP0069,SC-000319,consumables,566.61,377
IP00320,SUP0070,SC-000320,spares,421.76,450
IP00321,SUP0071,SC-000321,components,635.06,372
IP00322,SUP0072,SC-000322,packaging,212.96,239
IP00323,SUP0073,SC-000323,finished_goods,732.12,411
IP00324,SUP0074,SC-000324,consumables,230.32,197
IP00325,SUP0075,SC-000325,spares,234.54,213
IP00326,SUP0076,SC-000326,components,343.14,378
IP00327,SUP0077,SC-000327,packaging,618.16,344
IP00328,SUP0078,SC-000328,finished_goods,447.44,373
IP00329,SUP0079,SC-000329,consumables,224.94,343
IP00330,SUP0080,SC-000330,spares,625.25,288
IP00331,SUP0081,SC-000331,components,761.28,369
IP00332,SUP0082,SC-000332,packaging,472.05,497
IP00333,SUP0083,SC-000333,finished_goods,795.46,403
IP00334,SUP0084,SC-000334,consumables,167.80,206
IP00335,SUP0085,SC-000335,spares,114.34,459
IP00336,SUP0086,SC-000336,components,193.01,234
IP00337,SUP0087,SC-000337,packaging,151.52,79
IP00338,SUP0088,SC-000338,finished_goods,197.54,401
IP00339,SUP0089,SC-000339,consumables,211.76,329
IP00340,SUP0090,SC-000340,spares,79.23,475
IP00341,SUP0091,SC-000341,components,19.90,458
IP00342,SUP0092,SC-000342,packaging,782.94,305
IP00343,SUP0093,SC-000343,finished_goods,790.08,408
IP00344,SUP0094,SC-000344,consumables,694.90,45
IP00345,SUP0095,SC-000345,spares,73.98,326
IP00346,SUP0096,SC-000346,components,788.07,364
IP00347,SUP0097,SC-000347,packaging,622.02,383
IP00348,SUP0098,SC-000348,finished_goods,382.90,86
IP00349,SUP0099,SC-000349,consumables,449.35,345
IP00350,SUP0100,SC-000350,spares,655.32,404
IP00351,SUP0101,SC-000351,components,657.58,242
IP00352,SUP0102,SC-000352,packaging,594.65,367
IP00353,SUP0103,SC-000353,finished_goods,214.32,255
IP00354,SUP0104,SC-000354,consumables,774.49,237
IP00355,SUP0105,SC-000355,spares,501.29,360
IP00356,SUP0106,SC-000356,components,738.10,38
IP00357,SUP0107,SC-000357,packaging,53.55,355
IP00358,SUP0108,SC-000358,finished_goods,698.89,233
IP00359,SUP0109,SC-000359,consumables,641.98,234
IP00360,SUP0110,SC-000360,spares,665.49,207
IP00361,SUP0111,SC-000361,components,744.27,352
IP00362,SUP0112,SC-000362,packaging,770.30,194
IP00363,SUP0113,SC-000363,finished_goods,126.01,144
IP00364,SUP0114,SC-000364,consumables,760.72,284
IP00365,SUP0115,SC-000365,spares,564.06,225
IP00366,SUP0116,SC-000366,components,105.21,470
IP00367,SUP0117,SC-000367,packaging,528.98,439
IP00368,SUP0118,SC-000368,finished_goods,575.54,144
IP00369,SUP0119,SC-000369,consumables,685.79,33
IP00370,SUP0120,SC-000370,spares,64.56,131
IP00371,SUP0121,SC-000371,components,666.36,388
IP00372,SUP0122,SC-000372,packaging,510.22,262
IP00373,SUP0123,SC-000373,finished_goods,143.16,196
IP00374,SUP0124,SC-000374,consumables,525.45,54
IP00375,SUP0125,SC-000375,spares,272.83,137
IP00376,SUP0126,SC-000376,components,236.02,71
IP00377,SUP0127,SC-000377,packaging,221.72,146
IP00378,SUP0128,SC-000378,finished_goods,570.55,225
IP00379,SUP0129,SC-000379,consumables,214.55,141
IP00380,SUP0130,SC-000380,spares,773.60,225
IP00381,SUP0131,SC-000381,components,632.52,362
IP00382,SUP0132,SC-000382,packaging,657.86,240
IP00383,SUP0133,SC-000383,finished_goods,649.04,133
IP00384,SUP0134,SC-000384,consumables,559.65,160
IP00385,SUP0135,SC-000385,spares,630.31,383
IP00386,SUP0136,SC-000386,components,226.65,170
IP00387,SUP0137,SC-000387,packaging,48.95,313
IP00388,SUP0138,SC-000388,finished_goods,455.57,334
IP00389,SUP0139,SC-000389,consumables,452.97,261
IP00390,SUP0140,SC-000390,spares,513.86,407
IP00391,SUP0141,SC-000391,components,679.90,327
IP00392,SUP0142,SC-000392,packaging,687.36,373
IP00393,SUP0143,SC-000393,finished_goods,5.55,191
IP00394,SUP0144,SC-000394,consumables,149.96,208
IP00395,SUP0145,SC-000395,spares,596.87,190
IP00396,SUP0146,SC-000396,components,437.05,209
IP00397,SUP0147,SC-000397,packaging,811.90,208
IP00398,SUP0148,SC-000398,finished_goods,354.83,423
IP00399,SUP0149,SC-000399,consumables,766.60,394
IP00400,SUP0150,SC-000400,spares,369.20,433
IP00401,SUP0151,SC-000401,components,611.87,371
IP00402,SUP0152,SC-000402,packaging,430.16,368
IP00403,SUP0153,SC-000403,finished_goods,602.24,195
IP00404,SUP0154,SC-000404,consumables,394.74,410
IP00405,SUP0155,SC-000405,spares,700.08,295
IP00406,SUP0156,SC-000406,components,69.04,274
IP00407,SUP0157,SC-000407,packaging,732.81,476
IP00408,SUP0158,SC-000408,finished_goods,235.58,115
IP00409,SUP0159,SC-000409,consumables,576.13,90
IP00410,SUP0160,SC-000410,spares,826.38,495
IP00411,SUP0161,SC-000411,components,385.34,199
IP00412,SUP0162,SC-000412,packaging,222.12,167
IP00413,SUP0163,SC-000413,finished_goods,321.42,499
IP00414,SUP0164,SC-000414,consumables,633.08,188
IP00415,SUP0165,SC-000415,spares,183.90,384
IP00416,SUP0166,SC-000416,components,429.43,256
IP00417,SUP0167,SC-000417,packaging,601.93,270
IP00418,SUP0168,SC-000418,finished_goods,380.07,315
IP00419,SUP0169,SC-000419,consumables,735.30,475
IP00420,SUP0170,SC-000420,spares,22.58,210
IP00421,SUP0171,SC-000421,components,273.32,65
IP00422,SUP0172,SC-000422,packaging,676.18,303
IP00423,SUP0173,SC-000423,finished_goods,733.75,383
IP00424,SUP0174,SC-000424,consumables,413.59,405
IP00425,SUP0175,SC-000425,spares,761.33,210
IP00426,SUP0176,SC-000426,components,543.17,208
IP00427,SUP0177,SC-000427,packaging,257.53,360
IP00428,SUP0178,SC-000428,finished_goods,599.09,159
IP00429,SUP0179,SC-000429,consumables,769.96,141
IP00430,SUP0180,SC-000430,spares,664.02,361
IP00431,SUP0181,SC-000431,components,692.16,133
IP00432,SUP0182,SC-000432,packaging,163.78,58
IP00433,SUP0183,SC-000433,finished_goods,59.67,471
IP00434,SUP0184,SC-000434,consumables,144.65,128
IP00435,SUP0185,SC-000435,spares,73.66,257
IP00436,SUP0186,SC-000436,components,463.55,363
IP00437,SUP0187,SC-000437,packaging,726.54,393
IP00438,SUP0188,SC-000438,finished_goods,679.45,58
IP00439,SUP0189,SC-000439,consumables,152.59,303
IP00440,SUP0190,SC-000440,spares,265.93,459
IP00441,SUP0191,SC-000441,components,696.28,228
IP00442,SUP0192,SC-000442,packaging,838.44,276
IP00443,SUP0193,SC-000443,finished_goods,585.97,192
IP00444,SUP0194,SC-000444,consumables,505.38,457
IP00445,SUP0195,SC-000445,spares,110.31,446
IP00446,SUP0196,SC-000446,components,307.79,217
IP00447,SUP0197,SC-000447,packaging,165.70,266
IP00448,SUP0198,SC-000448,finished_goods,647.84,479
IP00449,SUP0199,SC-000449,consumables,797.00,286
IP00450,SUP0200,SC-000450,spares,228.03,315
IP00451,SUP0201,SC-000451,components,458.12,381
IP00452,SUP0202,SC-000452,packaging,809.30,319
IP00453,SUP0203,SC-000453,finished_goods,85.55,307
IP00454,SUP0204,SC-000454,consumables,235.64,102
IP00455,SUP0205,SC-000455,spares,134.10,445
IP00456,SUP0206,SC-000456,components,821.28,124
IP00457,SUP0207,SC-000457,packaging,522.44,66
IP00458,SUP0208,SC-000458,finished_goods,785.05,359
IP00459,SUP0209,SC-000459,consumables,676.47,120
IP00460,SUP0210,SC-000460,spares,170.71,57
IP00461,SUP0211,SC-000461,components,53.18,475
IP00462,SUP0212,SC-000462,packaging,664.75,380
IP00463,SUP0213,SC-000463,finished_goods,122.35,314
IP00464,SUP0214,SC-000464,consumables,239.55,245
IP00465,SUP0215,SC-000465,spares,400.26,219
IP00466,SUP0216,SC-000466,components,526.69,111
IP00467,SUP0217,SC-000467,packaging,124.40,144
IP00468,SUP0218,SC-000468,finished_goods,578.53,494
IP00469,SUP0219,SC-000469,consumables,36.39,52
IP00470,SUP0220,SC-000470,spares,504.44,311
IP00471,SUP0221,SC-000471,components,27.17,423
IP00472,SUP0222,SC-000472,packaging,562.95,425
IP00473,SUP0223,SC-000473,finished_goods,334.42,498
IP00474,SUP0224,SC-000474,consumables,488.08,104
IP00475,SUP0225,SC-000475,spares,98.75,198
IP00476,SUP0226,SC-000476,components,70.47,254
IP00477,SUP0227,SC-000477,packaging,177.64,225
IP00478,SUP0228,SC-000478,finished_goods,250.80,295
IP00479,SUP0229,SC-000479,consumables,40.78,451
IP00480,SUP0230,SC-000480,spares,205.32,495
IP00481,SUP0231,SC-000481,components,52.17,280
IP00482,SUP0232,SC-000482,packaging,282.58,164
IP00483,SUP0233,SC-000483,finished_goods,588.41,107
IP00484,SUP0234,SC-000484,consumables,719.66,282
IP00485,SUP0235,SC-000485,spares,108.47,153
IP00486,SUP0236,SC-000486,components,780.91,281
IP00487,SUP0237,SC-000487,packaging,24.84,77
IP00488,SUP0238,SC-000488,finished_goods,823.44,212
IP00489,SUP0239,SC-000489,consumables,274.80,141
IP00490,SUP0240,SC-000490,spares,491.27,183
IP00491,SUP0241,SC-000491,components,108.90,286
IP00492,SUP0242,SC-000492,packaging,344.54,200
IP00493,SUP0243,SC-000493,finished_goods,382.04,260
IP00494,SUP0244,SC-000494,consumables,489.16,60
IP00495,SUP0245,SC-000495,spares,761.72,196
IP00496,SUP0246,SC-000496,components,154.21,332
IP00497,SUP0247,SC-000497,packaging,356.81,256
IP00498,SUP0248,SC-000498,finished_goods,400.65,461
IP00499,SUP0249,SC-000499,consumables,586.93,403
IP00500,SUP0250,SC-000500,spares,121.64,377
IP00501,SUP0001,SC-000501,components,33.15,219
IP00502,SUP0002,SC-000502,packaging,699.27,443
IP00503,SUP0003,SC-000503,finished_goods,793.48,142
IP00504,SUP0004,SC-000504,consumables,373.82,289
IP00505,SUP0005,SC-000505,spares,797.05,74
IP00506,SUP0006,SC-000506,components,599.56,409
IP00507,SUP0007,SC-000507,packaging,125.66,182
IP00508,SUP0008,SC-000508,finished_goods,433.19,407
IP00509,SUP0009,SC-000509,consumables,677.01,353
IP00510,SUP0010,SC-000510,spares,411.93,42
IP00511,SUP0011,SC-000511,components,532.72,467
IP00512,SUP0012,SC-000512,packaging,446.00,454
IP00513,SUP0013,SC-000513,finished_goods,285.34,338
IP00514,SUP0014,SC-000514,consumables,19.15,137
IP00515,SUP0015,SC-000515,spares,493.61,425
IP00516,SUP0016,SC-000516,components,1.79,275
IP00517,SUP0017,SC-000517,packaging,240.14,433
IP00518,SUP0018,SC-000518,finished_goods,438.55,32
IP00519,SUP0019,SC-000519,consumables,759.23,336
IP00520,SUP0020,SC-000520,spares,17.90,42
