movement_id,product_id,warehouse_id,movement_at,movement_type,quantity_change,purchase_order_line_id,transfer_id
M00000082,IP01871,W012,2025-12-06,receipt,314,POL0000096,
M00000083,IP02121,W012,2025-12-06,receipt,78,POL0000097,
M00000084,IP01121,W012,2025-12-06,receipt,454,POL0000098,
M00000085,IP00985,W003,2025-08-21,receipt,167,POL0000099,
M00000086,IP02485,W003,2025-08-21,receipt,462,POL0000100,
M00000087,IP00485,W003,2025-08-21,receipt,529,POL0000101,
M00000088,IP01235,W003,2025-08-21,receipt,143,POL0000102,
M00000089,IP00490,W004,2025-07-23,receipt,419,POL0000103,
M00000090,IP00983,W010,2024-02-27,receipt,435,POL0000104,
M00000091,IP02233,W010,2024-02-27,receipt,139,POL0000105,
M00000092,IP01014,W003,2024-03-26,receipt,105,POL0000106,
M00000093,IP01264,W003,2024-03-26,receipt,213,POL0000107,
M00000094,IP02281,W004,2023-05-29,receipt,356,POL0000108,
M00000095,IP00281,W004,2023-05-29,receipt,443,POL0000109,
M00000096,IP02031,W004,2023-05-29,receipt,336,POL0000110,
M00000097,IP01031,W004,2023-05-29,receipt,465,POL0000111,
M00000098,IP02342,W011,2025-04-12,receipt,283,POL0000112,
M00000099,IP01842,W011,2025-04-12,receipt,538,POL0000113,
M00000100,IP00092,W011,2025-04-12,receipt,590,POL0000114,
M00000101,IP01592,W011,2025-04-12,receipt,401,POL0000115,
M00000102,IP01738,W009,2023-04-30,receipt,174,POL0000116,
M00000103,IP01238,W009,2023-04-30,receipt,66,POL0000117,
M00000104,IP00908,W012,2024-01-11,receipt,570,POL0000118,
M00000105,IP01908,W012,2024-01-11,receipt,293,POL0000119,
M00000106,IP01158,W012,2024-01-11,receipt,448,POL0000120,
M00000107,IP00158,W012,2024-01-11,receipt,181,POL0000121,
M00000108,IP02275,W002,2024-10-03,receipt,265,POL0000122,
M00000109,IP01025,W002,2024-10-03,receipt,527,POL0000123,
M00000110,IP01275,W002,2024-10-03,receipt,90,POL0000124,
M00000111,IP00275,W002,2024-10-03,receipt,322,POL0000125,
M00000112,IP02025,W002,2024-10-03,receipt,209,POL0000126,
M00000113,IP00567,W001,2024-07-28,receipt,450,POL0000127,
M00000114,IP02067,W001,2024-07-28,receipt,37,POL0000128,
M00000115,IP00817,W001,2024-07-28,receipt,22,POL0000129,
M00000116,IP02317,W001,2024-07-28,receipt,377,POL0000130,
M00000117,IP01817,W001,2024-07-28,receipt,363,POL0000131,
M00000118,IP00457,W003,2025-08-03,receipt,287,POL0000132,
M00000119,IP01578,W008,2023-03-29,receipt,132,POL0000133,
M00000120,IP00578,W008,2023-03-29,receipt,204,POL0000134,
M00000121,IP01078,W008,2023-03-29,receipt,494,POL0000135,
M00000122,IP00838,W006,2023-12-31,receipt,594,POL0000136,
M00000123,IP00182,W010,2024-05-25,receipt,588,POL0000137,
M00000124,IP01483,W001,2024-08-24,receipt,162,POL0000138,
M00000125,IP00233,W001,2024-08-24,receipt,489,POL0000139,
M00000126,IP01233,W001,2024-08-24,receipt,91,POL0000140,
M00000127,IP01733,W001,2024-08-24,receipt,579,POL0000141,
M00000128,IP00806,W004,2024-03-12,receipt,223,POL0000142,
M00000129,IP00050,W006,2025-05-23,receipt,239,POL0000143,
M00000130,IP01800,W006,2025-05-23,receipt,458,POL0000144,
M00000131,IP00851,W009,2025-03-12,receipt,114,POL0000148,
M00000132,IP01351,W009,2025-03-12,receipt,99,POL0000149,
M00000133,IP00101,W009,2025-03-12,receipt,502,POL0000150,
M00000134,IP01601,W009,2025-03-12,receipt,24,POL0000151,
M00000135,IP01851,W009,2025-03-12,receipt,221,POL0000152,
M00000136,IP01152,W007,2023-07-26,receipt,266,POL0000153,
M00000137,IP00652,W007,2023-07-26,receipt,531,POL0000154,
M00000138,IP02152,W007,2023-07-26,receipt,573,POL0000155,
M00000139,IP01402,W007,2023-07-26,receipt,260,POL0000156,
M00000140,IP00934,W004,2024-10-11,receipt,69,POL0000157,
M00000141,IP00684,W004,2024-10-11,receipt,30,POL0000158,
M00000142,IP01684,W004,2024-10-11,receipt,253,POL0000159,
M00000143,IP02221,W001,2023-11-22,receipt,432,POL0000160,
M00000144,IP01971,W001,2023-11-22,receipt,31,POL0000161,
M00000145,IP01471,W001,2023-11-22,receipt,304,POL0000162,
M00000146,IP01776,W006,2025-11-12,receipt,149,POL0000163,
M00000147,IP00776,W006,2025-11-12,receipt,432,POL0000164,
M00000148,IP00276,W006,2025-11-12,receipt,541,POL0000165,
M00000149,IP00254,W011,2025-11-20,receipt,403,POL0000166,
M00000150,IP00004,W011,2025-11-20,receipt,51,POL0000167,
M00000151,IP01573,W010,2023-07-28,receipt,76,POL0000168,
M00000152,IP00823,W010,2023-07-28,receipt,232,POL0000169,
M00000153,IP01323,W010,2023-07-28,receipt,279,POL0000170,
M00000154,IP02073,W010,2023-07-28,receipt,556,POL0000171,
M00000155,IP01725,W003,2025-05-04,receipt,60,POL0000172,
M00000156,IP01475,W003,2025-05-04,receipt,119,POL0000173,
M00000157,IP01975,W003,2025-05-04,receipt,99,POL0000174,
M00000158,IP01225,W003,2025-05-04,receipt,446,POL0000175,
M00000159,IP01392,W004,2024-06-06,receipt,167,POL0000176,
M00000160,IP02142,W004,2024-06-06,receipt,100,POL0000177,
M00000161,IP00605,W006,2023-12-06,receipt,141,POL0000178,
M00000162,IP02355,W006,2023-12-06,receipt,426,POL0000179,
M00000163,IP02144,W002,2023-03-03,receipt,509,POL0000180,
M00000164,IP01894,W002,2023-03-03,receipt,418,POL0000181,
M00000165,IP00144,W002,2023-03-03,receipt,290,POL0000182,
M00000166,IP00894,W002,2023-03-03,receipt,476,POL0000183,
M00000167,IP01144,W002,2023-03-03,receipt,179,POL0000184,
M00000168,IP00556,W003,2025-06-12,receipt,231,POL0000185,
M00000169,IP00806,W003,2025-06-12,receipt,112,POL0000186,
M00000170,IP00056,W003,2025-06-12,receipt,314,POL0000187,
M00000171,IP01806,W003,2025-06-12,receipt,386,POL0000188,
M00000172,IP02052,W008,2024-10-10,receipt,400,POL0000189,
M00000173,IP01552,W008,2024-10-10,receipt,223,POL0000190,
M00000174,IP01651,W002,2024-05-16,receipt,326,POL0000191,
M00000175,IP02401,W002,2024-05-16,receipt,107,POL0000192,
M00000176,IP02151,W002,2024-05-16,receipt,509,POL0000193,
M00000177,IP00901,W002,2024-05-16,receipt,331,POL0000194,
M00000178,IP00401,W002,2024-05-16,receipt,361,POL0000195,
M00000179,IP01192,W005,2024-05-05,receipt,494,POL0000196,
M00000180,IP01475,W012,2023-06-18,receipt,597,POL0000197,
M00000181,IP01975,W012,2023-06-18,receipt,486,POL0000198,
M00000182,IP00225,W012,2023-06-18,receipt,160,POL0000199,
M00000183,IP02225,W012,2023-06-18,receipt,361,POL0000200,
M00000184,IP01725,W012,2023-06-18,receipt,363,POL0000201,
M00000185,IP01888,W009,2024-02-02,receipt,14,POL0000202,
M00000186,IP02138,W009,2024-02-02,receipt,377,POL0000203,
M00000187,IP01248,W002,2024-04-25,receipt,64,POL0000204,
M00000188,IP01498,W002,2024-04-25,receipt,179,POL0000205,
M00000189,IP00302,W001,2024-10-09,receipt,196,POL0000206,
M00000190,IP02052,W001,2024-10-09,receipt,141,POL0000207,
M00000191,IP01052,W001,2024-10-09,receipt,70,POL0000208,
M00000192,IP00802,W001,2024-10-09,receipt,294,POL0000209,
M00000193,IP00757,W007,2025-02-20,receipt,409,POL0000210,
M00000194,IP02007,W007,2025-02-20,receipt,170,POL0000211,
M00000195,IP01257,W007,2025-02-20,receipt,279,POL0000212,
M00000196,IP01007,W007,2025-02-20,receipt,307,POL0000213,
M00000197,IP01569,W001,2025-09-21,receipt,14,POL0000214,
M00000198,IP00569,W001,2025-09-21,receipt,131,POL0000215,
M00000199,IP02069,W001,2025-09-21,receipt,59,POL0000216,
M00000200,IP00819,W001,2025-09-21,receipt,499,POL0000217,
M00000201,IP00822,W003,2023-04-19,receipt,60,POL0000218,
M00000202,IP00322,W003,2023-04-19,receipt,21,POL0000219,
M00000203,IP01572,W003,2023-04-19,receipt,349,POL0000220,
M00000204,IP02322,W003,2023-04-19,receipt,220,POL0000221,
M00000205,IP01822,W003,2023-04-19,receipt,494,POL0000222,
M00000206,IP00809,W006,2023-10-27,receipt,228,POL0000223,
M00000207,IP00309,W006,2023-10-27,receipt,309,POL0000224,
M00000208,IP00059,W006,2023-10-27,receipt,572,POL0000225,
M00000209,IP02309,W006,2023-10-27,receipt,378,POL0000226,
M00000210,IP01809,W006,2023-10-27,receipt,445,POL0000227,
M00000211,IP00621,W004,2023-08-03,receipt,290,POL0000228,
M00000212,IP01371,W004,2023-08-03,receipt,408,POL0000229,
M00000213,IP02371,W004,2023-08-03,receipt,319,POL0000230,
M00000214,IP00121,W004,2023-08-03,receipt,482,POL0000231,
M00000215,IP00820,W003,2025-08-02,receipt,411,POL0000232,
M00000216,IP02320,W003,2025-08-02,receipt,74,POL0000233,
M00000217,IP01570,W003,2025-08-02,receipt,170,POL0000234,
M00000218,IP00320,W003,2025-08-02,receipt,371,POL0000235,
M00000219,IP01393,W005,2025-03-12,receipt,309,POL0000236,
M00000220,IP01143,W005,2025-03-12,receipt,261,POL0000237,
M00000221,IP01059,W003,2024-09-01,receipt,255,POL0000238,
M00000222,IP00059,W003,2024-09-01,receipt,442,POL0000239,
M00000223,IP00809,W003,2024-09-01,receipt,116,POL0000240,
M00000224,IP00394,W007,2025-01-30,receipt,303,POL0000241,
M00000225,IP01644,W007,2025-01-30,receipt,444,POL0000242,
M00000226,IP00644,W007,2025-01-30,receipt,586,POL0000243,
M00000227,IP01819,W002,2025-12-02,receipt,269,POL0000244,
M00000228,IP02069,W002,2025-12-02,receipt,207,POL0000245,
M00000229,IP00569,W002,2025-12-02,receipt,139,POL0000246,
M00000230,IP01340,W008,2023-06-23,receipt,47,POL0000247,
M00000231,IP01840,W008,2023-06-23,receipt,468,POL0000248,
M00000232,IP00590,W008,2023-06-23,receipt,217,POL0000249,
M00000233,IP00340,W008,2023-06-23,receipt,243,POL0000250,
M00000234,IP00694,W004,2025-02-27,receipt,327,POL0000251,
M00000235,IP00444,W004,2025-02-27,receipt,427,POL0000252,
M00000236,IP00194,W004,2025-02-27,receipt,78,POL0000253,
M00000237,IP01944,W004,2025-02-27,receipt,319,POL0000254,
M00000238,IP00944,W004,2025-02-27,receipt,413,POL0000255,
M00000239,IP01044,W011,2024-08-23,receipt,256,POL0000256,
M00000240,IP00544,W011,2024-08-23,receipt,548,POL0000257,
M00000241,IP00294,W011,2024-08-23,receipt,45,POL0000258,
M00000242,IP00794,W011,2024-08-23,receipt,366,POL0000259,
M00000243,IP01195,W008,2023-10-20,receipt,101,POL0000260,
M00000244,IP02195,W008,2023-10-20,receipt,194,POL0000261,
M00000245,IP00445,W008,2023-10-20,receipt,91,POL0000262,
M00000246,IP02469,W006,2025-04-12,receipt,128,POL0000263,
M00000247,IP01469,W006,2025-04-12,receipt,380,POL0000264,
M00000248,IP02219,W006,2025-04-12,receipt,415,POL0000265,
M00000249,IP00219,W006,2025-04-12,receipt,510,POL0000266,
M00000250,IP01761,W006,2024-05-17,receipt,521,POL0000267,
M00000251,IP01511,W006,2024-05-17,receipt,61,POL0000268,
M00000252,IP00261,W006,2024-05-17,receipt,52,POL0000269,
M00000253,IP00421,W009,2023-10-10,receipt,152,POL0000270,
M00000254,IP01417,W002,2025-06-29,receipt,89,POL0000271,
M00000255,IP02417,W002,2025-06-29,receipt,516,POL0000272,
M00000256,IP00211,W002,2024-05-15,receipt,409,POL0000273,
M00000257,IP00961,W002,2024-05-15,receipt,543,POL0000274,
M00000258,IP00461,W002,2024-05-15,receipt,377,POL0000275,
M00000259,IP01751,W009,2025-01-14,receipt,177,POL0000276,
M00000260,IP01501,W009,2025-01-14,receipt,136,POL0000277,
M00000261,IP00735,W008,2025-09-05,receipt,149,POL0000278,
M00000262,IP00235,W008,2025-09-05,receipt,265,POL0000279,
M00000263,IP01485,W008,2025-09-05,receipt,581,POL0000280,
M00000264,IP02235,W008,2025-09-05,receipt,142,POL0000281,
M00000265,IP00485,W008,2025-09-05,receipt,433,POL0000282,
M00000266,IP02493,W004,2023-03-21,receipt,197,POL0000283,
M00000267,IP01243,W004,2023-03-21,receipt,389,POL0000284,
M00000268,IP00493,W004,2023-03-21,receipt,395,POL0000285,
M00000269,IP01993,W004,2023-03-21,receipt,503,POL0000286,
M00000270,IP00993,W004,2023-03-21,receipt,200,POL0000287,
M00000271,IP02464,W009,2024-06-09,receipt,34,POL0000288,
M00000272,IP01579,W010,2023-12-19,receipt,356,POL0000289,
M00000273,IP00079,W010,2023-12-19,receipt,596,POL0000290,
M00000274,IP00640,W008,2024-11-07,receipt,282,POL0000291,
M00000275,IP01890,W008,2024-11-07,receipt,438,POL0000292,
M00000276,IP02140,W008,2024-11-07,receipt,388,POL0000293,
M00000277,IP00390,W008,2024-11-07,receipt,132,POL0000294,
M00000278,IP00842,W011,2024-03-22,receipt,102,POL0000295,
M00000279,IP00592,W011,2024-03-22,receipt,361,POL0000296,
M00000280,IP00342,W011,2024-03-22,receipt,90,POL0000297,
M00000281,IP01041,W005,2025-01-14,receipt,361,POL0000298,
M00000282,IP01541,W005,2025-01-14,receipt,227,POL0000299,
M00000283,IP01291,W005,2025-01-14,receipt,146,POL0000300,
M00000284,IP02041,W005,2025-01-14,receipt,335,POL0000301,
M00000285,IP01397,W009,2023-06-05,receipt,311,POL0000302,
M00000286,IP01603,W010,2024-07-17,receipt,433,POL0000303,
M00000287,IP00603,W010,2024-07-17,receipt,229,POL0000304,
M00000288,IP01853,W010,2024-07-17,receipt,481,POL0000305,
M00000289,IP00103,W010,2024-07-17,receipt,219,POL0000306,
M00000290,IP02103,W010,2024-07-17,receipt,90,POL0000307,
M00000291,IP00064,W006,2023-10-02,receipt,398,POL0000308,
M00000292,IP00814,W006,2023-10-02,receipt,30,POL0000309,
M00000293,IP02166,W004,2024-07-08,receipt,150,POL0000310,
M00000294,IP01166,W004,2024-07-08,receipt,151,POL0000311,
M00000295,IP01588,W010,2023-11-13,receipt,450,POL0000312,
M00000296,IP01787,W009,2023-11-11,receipt,405,POL0000313,
M00000297,IP01537,W009,2023-11-11,receipt,168,POL0000314,
M00000298,IP01141,W005,2023-03-20,receipt,564,POL0000315,
M00000299,IP01891,W005,2023-03-20,receipt,158,POL0000316,
M00000300,IP01989,W012,2025-01-27,receipt,111,POL0000317,
M00000301,IP00989,W012,2025-01-27,receipt,510,POL0000318,
M00000302,IP00190,W006,2025-11-10,receipt,508,POL0000319,
M00000303,IP01788,W006,2023-07-21,receipt,422,POL0000320,
M00000304,IP02239,W008,2024-09-25,receipt,64,POL0000321,
M00000305,IP00489,W008,2024-09-25,receipt,356,POL0000322,
M00000306,IP00739,W008,2024-09-25,receipt,221,POL0000323,
M00000307,IP00005,W001,2024-05-19,receipt,490,POL0000324,
M00000308,IP02070,W001,2023-07-29,receipt,268,POL0000325,
M00000309,IP00070,W001,2023-07-29,receipt,110,POL0000326,
M00000310,IP01570,W001,2023-07-29,receipt,113,POL0000327,
M00000311,IP00570,W001,2023-07-29,receipt,55,POL0000328,
M00000312,IP00043,W012,2025-10-16,receipt,273,POL0000329,
M00000313,IP02293,W012,2025-10-16,receipt,15,POL0000330,
M00000314,IP00606,W002,2024-02-22,receipt,230,POL0000331,
M00000315,IP01856,W002,2024-02-22,receipt,569,POL0000332,
M00000316,IP00729,W006,2025-02-01,receipt,32,POL0000333,
M00000317,IP01979,W006,2025-02-01,receipt,296,POL0000334,
M00000318,IP00979,W006,2025-02-01,receipt,3,POL0000335,
M00000319,IP01229,W006,2025-02-01,receipt,45,POL0000336,
M00000320,IP00725,W004,2025-08-20,receipt,303,POL0000338,
M00000321,IP02225,W004,2025-08-20,receipt,194,POL0000339,
M00000322,IP02475,W004,2025-08-20,receipt,317,POL0000340,
M00000323,IP01975,W004,2025-08-20,receipt,427,POL0000341,
M00000324,IP01225,W004,2025-08-20,receipt,320,POL0000342,
M00000325,IP01772,W003,2025-06-12,receipt,480,POL0000343,
M00000326,IP00272,W003,2025-06-12,receipt,399,POL0000344,
M00000327,IP02022,W003,2025-06-12,receipt,191,POL0000345,
M00000328,IP00088,W003,2024-11-10,receipt,118,POL0000346,
M00000329,IP01838,W003,2024-11-10,receipt,427,POL0000347,
M00000330,IP01338,W003,2024-11-10,receipt,406,POL0000348,
M00000331,IP00588,W003,2024-11-10,receipt,422,POL0000349,
M00000332,IP01606,W002,2025-06-15,receipt,273,POL0000350,
M00000333,IP00356,W002,2025-06-15,receipt,550,POL0000351,
M00000334,IP01356,W002,2025-06-15,receipt,182,POL0000352,
M00000335,IP02106,W002,2025-06-15,receipt,501,POL0000353,
M00000336,IP01084,W003,2024-09-28,receipt,169,POL0000354,
M00000337,IP00084,W003,2024-09-28,receipt,223,POL0000355,
M00000338,IP02408,W003,2024-04-09,receipt,317,POL0000356,
M00000339,IP00158,W003,2024-04-09,receipt,98,POL0000357,
M00000340,IP00003,W002,2025-02-23,receipt,515,POL0000358,
M00000341,IP01003,W002,2025-02-23,receipt,480,POL0000359,
M00000342,IP01253,W002,2025-02-23,receipt,577,POL0000360,
M00000343,IP00503,W002,2025-02-23,receipt,61,POL0000361,
M00000344,IP01730,W003,2023-09-11,receipt,473,POL0000362,
M00000345,IP02480,W003,2023-09-11,receipt,281,POL0000363,
M00000346,IP00425,W010,2025-07-13,receipt,391,POL0000364,
M00000347,IP01175,W010,2025-07-13,receipt,396,POL0000365,
M00000348,IP02175,W010,2025-07-13,receipt,367,POL0000366,
M00000349,IP00643,W006,2025-01-12,receipt,508,POL0000367,
M00000350,IP01393,W006,2025-01-12,receipt,448,POL0000368,
M00000351,IP02143,W006,2025-01-12,receipt,119,POL0000369,
M00000352,IP00393,W006,2025-01-12,receipt,224,POL0000370,
M00000353,IP01048,W010,2025-04-14,receipt,135,POL0000373,
M00000354,IP00652,W004,2024-02-15,receipt,210,POL0000374,
M00000355,IP01954,W008,2024-06-23,receipt,563,POL0000375,
M00000356,IP02454,W008,2024-06-23,receipt,34,POL0000376,
M00000357,IP01704,W008,2024-06-23,receipt,565,POL0000377,
M00000358,IP01454,W008,2024-06-23,receipt,55,POL0000378,
M00000359,IP00454,W008,2024-06-23,receipt,234,POL0000379,
M00000360,IP02070,W001,2024-02-20,receipt,40,POL0000380,
M00000361,IP01570,W001,2024-02-20,receipt,461,POL0000381,
M00000362,IP01070,W001,2024-02-20,receipt,598,POL0000382,
M00000363,IP02320,W001,2024-02-20,receipt,474,POL0000383,
M00000364,IP00320,W001,2024-02-20,receipt,176,POL0000384,
M00000365,IP00800,W009,2024-07-19,receipt,303,POL0000385,
M00000366,IP00050,W009,2024-07-19,receipt,75,POL0000386,
M00000367,IP01800,W009,2024-07-19,receipt,510,POL0000387,
M00000368,IP02439,W005,2025-09-15,receipt,567,POL0000388,
M00000369,IP01689,W005,2025-09-15,receipt,437,POL0000389,
M00000370,IP02189,W005,2025-09-15,receipt,121,POL0000390,
M00000371,IP00939,W005,2025-09-15,receipt,117,POL0000391,
M00000372,IP01939,W005,2025-09-15,receipt,72,POL0000392,
M00000373,IP01577,W009,2025-05-10,receipt,295,POL0000393,
M00000374,IP00827,W009,2025-05-10,receipt,122,POL0000394,
M00000375,IP00577,W009,2025-05-10,receipt,256,POL0000395,
M00000376,IP02327,W009,2025-05-10,receipt,325,POL0000396,
M00000377,IP01234,W001,2024-11-26,receipt,379,POL0000397,
M00000378,IP02234,W001,2024-11-26,receipt,347,POL0000398,
M00000379,IP01484,W001,2024-11-26,receipt,598,POL0000399,
M00000380,IP00484,W001,2024-11-26,receipt,418,POL0000400,
M00000381,IP00984,W001,2024-11-26,receipt,277,POL0000401,
M00000382,IP01516,W012,2024-08-17,receipt,193,POL0000402,
M00000383,IP00016,W012,2024-08-17,receipt,92,POL0000403,
M00000384,IP00266,W012,2024-08-17,receipt,358,POL0000404,
M00000385,IP01621,W010,2024-02-12,receipt,559,POL0000405,
M00000386,IP02371,W010,2024-02-12,receipt,54,POL0000406,
M00000387,IP00121,W010,2024-02-12,receipt,393,POL0000407,
M00000388,IP02121,W010,2024-02-12,receipt,141,POL0000408,
M00000389,IP01121,W010,2024-02-12,receipt,29,POL0000409,
M00000390,IP02087,W005,2025-02-07,receipt,429,POL0000410,
M00000391,IP00837,W005,2025-02-07,receipt,67,POL0000411,
M00000392,IP01087,W005,2025-02-07,receipt,334,POL0000412,
M00000393,IP02082,W004,2025-11-14,receipt,146,POL0000413,
M00000394,IP00832,W004,2025-11-14,receipt,256,POL0000414,
M00000395,IP00082,W004,2025-11-14,receipt,593,POL0000415,
M00000396,IP01530,W001,2024-03-31,receipt,335,POL0000416,
M00000397,IP00030,W001,2024-03-31,receipt,51,POL0000417,
M00000398,IP01850,W010,2025-12-14,receipt,535,POL0000418,
M00000399,IP01600,W010,2025-12-14,receipt,157,POL0000419,
M00000400,IP01350,W010,2025-12-14,receipt,539,POL0000420,
M00000401,IP01522,W009,2023-08-11,receipt,215,POL0000421,
M00000402,IP00959,W007,2023-03-05,receipt,339,POL0000422,
M00000403,IP01959,W007,2023-03-05,receipt,310,POL0000423,
M00000404,IP01459,W007,2023-03-05,receipt,335,POL0000424,
M00000405,IP00010,W004,2023-11-19,receipt,196,POL0000425,
M00000406,IP01510,W004,2023-11-19,receipt,138,POL0000426,
M00000407,IP00471,W003,2023-06-12,receipt,277,POL0000427,
M00000408,IP01221,W003,2023-06-12,receipt,561,POL0000428,
M00000409,IP01471,W003,2023-06-12,receipt,483,POL0000429,
M00000410,IP01679,W002,2024-12-22,receipt,318,POL0000430,
M00000411,IP00429,W002,2024-12-22,receipt,296,POL0000431,
M00000412,IP02393,W007,2024-07-22,receipt,435,POL0000432,
M00000413,IP00681,W004,2023-08-05,receipt,441,POL0000433,
M00000414,IP01431,W004,2023-08-05,receipt,187,POL0000434,
M00000415,IP01681,W004,2023-08-05,receipt,492,POL0000435,
M00000416,IP00931,W004,2023-08-05,receipt,570,POL0000436,
M00000417,IP00107,W003,2023-11-12,receipt,186,POL0000437,
M00000418,IP01607,W003,2023-11-12,receipt,125,POL0000438,
M00000419,IP00607,W003,2023-11-12,receipt,210,POL0000439,
M00000420,IP02120,W001,2025-09-29,receipt,117,POL0000440,
M00000421,IP01839,W007,2024-01-29,receipt,464,POL0000441,
